Date,Publisher,Identifiers,Accrual Campaign Name,Device,Concept Name,Geo,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Impressions,Clicks,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,Chennai,,,,,,,8439.0,121.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,Chennai,,,,,,,13598.0,89.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,Chennai,,,,,,,7231.0,49.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,Coimbatore,,,,,,,12611.0,142.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,Coimbatore,,,,,,,7285.0,91.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,Coimbatore,,,,,,,3301.0,47.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,"Delhi,Delhi,India",,,,,,,8891.0,122.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,"Delhi,Delhi,India",,,,,,,13448.0,88.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,"Delhi,Delhi,India",,,,,,,8418.0,101.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,Ernamkulam,,,,,,,13931.0,232.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,Ernamkulam,,,,,,,11921.0,80.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,Ernamkulam,,,,,,,10061.0,102.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,Faridabad,,,,,,,13510.0,94.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,Faridabad,,,,,,,11967.0,106.0,nan,nan,nan,nan,nan,nan,nan,nan
