Date,Publisher,Campaign Name,Line Item Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Engagements,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Reach
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P0 Uttaranchal T57-Non Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_NENN_A_PLC_CRS_MLT_NOT APPLICABLE_DIG_VIDN_PST_RON_EAH1-YT-VID-35-UT-T57NM-NPAC-FAM-HIN_REC_MLT_NA_NA_NA_NA_SFR_1920X1080_:35_SKP_4_CPMV_SSWT_HI_MIE ID_03152024_05312024_NA_NA-NA-NA,P0 Uttaranchal T57-Non Metros,2848,,13,,2001,1632,1455,1317,328.035821,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P0 Uttaranchal T57-Non Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_NENN_A_PLC_CRS_MLT_NOT APPLICABLE_DIG_VIDN_PST_RON_EAH1-YT-VID-35-UT-T57NM-NPAC-OFF-HIN_REC_MLT_NA_NA_NA_NA_SFR_1920X1080_:35_SKP_4_CPMV_SSWT_HI_MIE ID_03152024_05312024_NA_NA-NA-NA,P0 Uttaranchal T57-Non Metros,1515,,5,,1144,971,877,813,189.57774,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P0 Uttaranchal T57-Non Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_POKN_A_PLC_CRS_MLT_NA_DIG_VIDP_VMLT_RON_YTVD35UTT57NMNPACFAMHIN_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_4_CPV_SSWT_HI_1152VL_03192024_05312024_NA_NA_NA_NA,P0 Uttaranchal T57-Non Metros,4213,,18,,3019,2440,2212,2039,515.950028,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P0 Uttaranchal T57-Non Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_POKN_A_PLC_CRS_MLT_NA_DIG_VIDP_VMLT_RON_YTVD35UTT57NMNPACOFFHIN_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_4_CPV_SSWT_HI_1152VM_03192024_05312024_NA_NA_NA_NA,P0 Uttaranchal T57-Non Metros,2974,,20,,2193,1798,1624,1508,369.726184,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P1 Delhi T57-Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_NENN_A_PLC_CRS_MLT_NOT APPLICABLE_DIG_VIDN_PST_RON_EAH1-YT-VID-35-DEL-T57M-NPAC-FAM-HIN_REC_MLT_NA_NA_NA_NA_SFR_1920X1080_:35_SKP_4_CPMV_SSWT_HI_MIE ID_03152024_05312024_NA_Delhi-NA-NA,P1 Delhi T57-Metros,87848,,343,,66793,56067,50904,47208,12511.450834,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P1 Delhi T57-Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_NENN_A_PLC_CRS_MLT_NOT APPLICABLE_DIG_VIDN_PST_RON_EAH1-YT-VID-35-DEL-T57M-NPAC-OFF-HIN_REC_MLT_NA_NA_NA_NA_SFR_1920X1080_:35_SKP_4_CPMV_SSWT_HI_MIE ID_03152024_05312024_NA_Delhi-NA-NA,P1 Delhi T57-Metros,58164,,192,,46410,39776,36389,34008,8735.191232,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P1 Delhi T57-Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_POKN_A_PLC_CRS_MLT_NA_DIG_VIDP_VMLT_RON_YTVD35DLT57MNPACFAMHIN_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_4_CPV_SSWT_HI_1152PX_03192024_05312024_NA_DELHI_NEW DE_NA,P1 Delhi T57-Metros,153404,,572,,115679,95873,86238,79571,21645.152634,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P1 Delhi T57-Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_POKN_A_PLC_CRS_MLT_NA_DIG_VIDP_VMLT_RON_YTVD35DLT57MNPACOFFHIN_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_4_CPV_SSWT_HI_1152PY_03192024_05312024_NA_DELHI_NEW DE_NA,P1 Delhi T57-Metros,126344,,442,,98903,82643,74963,69555,18436.02076,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P2 ROI T57-Non Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_NENN_A_PLC_CRS_MLT_NOT APPLICABLE_DIG_VIDN_PST_RON_EAH1-YT-VID-35-ROI-T57NM-NPAC-FAM-HIN_REC_MLT_NA_NA_NA_NA_SFR_1920X1080_:35_SKP_4_CPMV_SSWT_HI_MIE ID_03152024_05312024_NA_MLT-NA-NA,P2 ROI T57-Non Metros,155165,,790,,115678,96706,88113,82114,16009.90737,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P2 ROI T57-Non Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_NENN_A_PLC_CRS_MLT_NOT APPLICABLE_DIG_VIDN_PST_RON_EAH1-YT-VID-35-ROI-T57NM-NPAC-OFF-HIN_REC_MLT_NA_NA_NA_NA_SFR_1920X1080_:35_SKP_4_CPMV_SSWT_HI_MIE ID_03152024_05312024_NA_MLT-NA-NA,P2 ROI T57-Non Metros,87252,,447,,69034,59074,54277,51089,9517.442716,,,,,,,,
