Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Clicks,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_RO17_Man Apparel,"RO T17 (Pune, Jaipur, Ahmedabad, Lucknow, Patna, Coimbatore, Kochi, Surat, Krishna, Vizag, Guntur)",184362,2358,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_RO17_Travel Luggage,"RO T17 (Pune, Jaipur, Ahmedabad, Lucknow, Patna, Coimbatore, Kochi, Surat, Krishna, Vizag, Guntur)",183741,2903,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_RO17_Watches,"RO T17 (Pune, Jaipur, Ahmedabad, Lucknow, Patna, Coimbatore, Kochi, Surat, Krishna, Vizag, Guntur)",163529,1950,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_RO17_Hand Bag,"RO T17 (Pune, Jaipur, Ahmedabad, Lucknow, Patna, Coimbatore, Kochi, Surat, Krishna, Vizag, Guntur)",189284,2154,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_RO17_Luxury and Beauty,"RO T17 (Pune, Jaipur, Ahmedabad, Lucknow, Patna, Coimbatore, Kochi, Surat, Krishna, Vizag, Guntur)",178933,2256,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_RO17_Apparel,"RO T17 (Pune, Jaipur, Ahmedabad, Lucknow, Patna, Coimbatore, Kochi, Surat, Krishna, Vizag, Guntur)",189365,2074,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_RO17_Bag,"RO T17 (Pune, Jaipur, Ahmedabad, Lucknow, Patna, Coimbatore, Kochi, Surat, Krishna, Vizag, Guntur)",178346,2582,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Footwear,Delhi NCR,242891,2234,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Bags,Delhi NCR,241209,2338,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Luxbeauty,Delhi NCR,242971,2282,,,,,,,,,,,,,,,
