Date,Publisher,Campaign Name,Accrual campaign name,Concept Name,GEO,Impressions,Clicks
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_TIRUVANTAPURAM_W1 to W4 - 14th Oct to 10th Nov,,1736,22
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_TIRUVANTAPURAM_W1 to W4 - 14th Oct to 10th Nov,,1793,17
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_TIRUVANTAPURAM_W1 to W4 - 14th Oct to 10th Nov,,15845,200
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_TIRUVANTAPURAM_W1 to W4 - 14th Oct to 10th Nov,,1756,12
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_TIRUVANTAPURAM_W1 to W4 - 14th Oct to 10th Nov,,1663,17
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_TIRUVANTAPURAM_W1 to W4 - 14th Oct to 10th Nov,,8753,145
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_TIRUVANTAPURAM_W1 to W4 - 14th Oct to 10th Nov,,7876,84
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_TIRUVANTAPURAM_W1 to W4 - 14th Oct to 10th Nov,,1661,17
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_MUMBAI_W1 to W4 - 14th Oct to 10th Nov,MUMBAI,16288,248
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_MUMBAI_W1 to W4 - 14th Oct to 10th Nov,MUMBAI,16299,219
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_MUMBAI_W1 to W4 - 14th Oct to 10th Nov,MUMBAI,18972,281
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_MUMBAI_W1 to W4 - 14th Oct to 10th Nov,MUMBAI,16066,234
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_MUMBAI_W1 to W4 - 14th Oct to 10th Nov,MUMBAI,59670,844
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_MUMBAI_W1 to W4 - 14th Oct to 10th Nov,MUMBAI,22292,252
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_MUMBAI_W1 to W4 - 14th Oct to 10th Nov,MUMBAI,143653,2117
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_MUMBAI_W1 to W4 - 14th Oct to 10th Nov,MUMBAI,46826,585
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_MUMBAI_W1 to W4 - 14th Oct to 10th Nov,MUMBAI,20048,281
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_MUMBAI_W1 to W4 - 14th Oct to 10th Nov,MUMBAI,14414,179
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_MUMBAI_W1 to W4 - 14th Oct to 10th Nov,MUMBAI,129573,1781
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_MUMBAI_W1 to W4 - 14th Oct to 10th Nov,MUMBAI,14481,189
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_MUMBAI_W1 to W4 - 14th Oct to 10th Nov,MUMBAI,29589,372
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_MUMBAI_W1 to W4 - 14th Oct to 10th Nov,MUMBAI,14238,196
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_MUMBAI_W1 to W4 - 14th Oct to 10th Nov,MUMBAI,116162,1571
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_MUMBAI_W1 to W4 - 14th Oct to 10th Nov,MUMBAI,14176,168
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_MUMBAI_W1 to W4 - 14th Oct to 10th Nov,MUMBAI,14334,198
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_MUMBAI_W1 to W4 - 14th Oct to 10th Nov,MUMBAI,13986,161
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_MUMBAI_W1 to W4 - 14th Oct to 10th Nov,MUMBAI,128982,1733
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_MUMBAI_W1 to W4 - 14th Oct to 10th Nov,MUMBAI,13531,163
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_DELHI NCR_W1 to W4 - 14th Oct to 10th Nov,DELHI NCR,42965,628
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_DELHI NCR_W1 to W4 - 14th Oct to 10th Nov,DELHI NCR,34326,450
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_DELHI NCR_W1 to W4 - 14th Oct to 10th Nov,DELHI NCR,34836,459
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_DELHI NCR_W1 to W4 - 14th Oct to 10th Nov,DELHI NCR,34775,471
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_DELHI NCR_W1 to W4 - 14th Oct to 10th Nov,DELHI NCR,359137,4904
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_DELHI NCR_W1 to W4 - 14th Oct to 10th Nov,DELHI NCR,46117,571
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_DELHI NCR_W1 to W4 - 14th Oct to 10th Nov,DELHI NCR,46749,599
