Publisher,Campaign Name,Date,Line Item Name,Concept Name,Geo Targeting,Impressions,Clicks,Spends
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,14-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 4 - Mobile recharge KV - 600x600,"tamil nadu Excluding chennai, coimbatore","3,646",22,328.14
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,15-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 4 - Mobile recharge KV - 600x600,"tamil nadu Excluding chennai, coimbatore","2,372",12,213.48
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,16-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 4 - Mobile recharge KV - 600x600,"tamil nadu Excluding chennai, coimbatore","7,632",46,686.88
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,17-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 4 - Mobile recharge KV - 600x600,"tamil nadu Excluding chennai, coimbatore","6,427",37,578.43
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 4 - Mobile recharge KV - 600x600,"tamil nadu Excluding chennai, coimbatore","27,585",208,2482.65
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,19-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 4 - Mobile recharge KV - 600x600,"tamil nadu Excluding chennai, coimbatore","6,064",41,545.76
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,14-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 3 - Zero convenience fee - 990x505,"tamil nadu Excluding chennai, coimbatore","5,545",39,499.05
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,15-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 3 - Zero convenience fee - 990x505,"tamil nadu Excluding chennai, coimbatore","8,251",24,742.59
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,16-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 3 - Zero convenience fee - 990x505,"tamil nadu Excluding chennai, coimbatore","2,150",9,193.5
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,17-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 3 - Zero convenience fee - 990x505,"tamil nadu Excluding chennai, coimbatore","9,713",28,874.17
