Publisher,Campaign Name,Date,Line Item Name,Concept Name,Geo Targeting,Impressions,Clicks,Spends
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 1 - Bill Payment - 990x505,"andhra pradesh,telangana excluding hyderabad","8,110",28,729.9
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,20-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 2 - Recharge - 990x505,"andhra pradesh,telangana excluding hyderabad","3,404",23,306.36
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,21-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 2 - Recharge - 990x505,"andhra pradesh,telangana excluding hyderabad","8,276",81,744.84
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,22-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 2 - Recharge - 990x505,"andhra pradesh,telangana excluding hyderabad","70,204",560,6318.36
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 2 - Recharge - 990x505,"andhra pradesh,telangana excluding hyderabad","17,017",110,1531.53
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 2 - Recharge - 990x505,"andhra pradesh,telangana excluding hyderabad","6,294",22,566.46
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,20-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 1 - Bill Payment - 990x505,"tamil nadu excluding chennai,coimbatore","7,053",32,634.77
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,21-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 1 - Bill Payment - 990x505,"tamil nadu excluding chennai,coimbatore","5,353",42,481.77
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,22-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 1 - Bill Payment - 990x505,"tamil nadu excluding chennai,coimbatore","121,159",521,10904.31
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 1 - Bill Payment - 990x505,"tamil nadu excluding chennai,coimbatore","91,866",651,8267.94
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 1 - Bill Payment - 990x505,"tamil nadu excluding chennai,coimbatore","41,150",420,3703.5
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,20-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 2 - Recharge - 600x600,"tamil nadu excluding chennai,coimbatore","2,944",16,264.96
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,21-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 2 - Recharge - 600x600,"tamil nadu excluding chennai,coimbatore","6,518",59,586.62
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,22-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 2 - Recharge - 600x600,"tamil nadu excluding chennai,coimbatore","61,397",546,5525.73
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 2 - Recharge - 600x600,"tamil nadu excluding chennai,coimbatore","93,013",845,8371.17
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 2 - Recharge - 600x600,"tamil nadu excluding chennai,coimbatore","52,969",595,4767.21
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 2 - Recharge - 1080x2592,"tamil nadu excluding chennai,coimbatore",9,0,0.81
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 2 - Recharge - 1080x2592,"tamil nadu excluding chennai,coimbatore",328,19,29.52
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 1 - Bill Payment - 1080x2592,"tamil nadu excluding chennai,coimbatore",11,1,0.99
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 1 - Bill Payment - 1080x2592,"tamil nadu excluding chennai,coimbatore",209,9,18.81
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,20-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 2 - Recharge - 990x505,"tamil nadu excluding chennai,coimbatore","3,445",24,310.05
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,21-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 2 - Recharge - 990x505,"tamil nadu excluding chennai,coimbatore","5,977",38,537.93
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,22-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 2 - Recharge - 990x505,"tamil nadu excluding chennai,coimbatore","52,624",306,4736.16
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 2 - Recharge - 990x505,"tamil nadu excluding chennai,coimbatore","90,700",691,8163
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 2 - Recharge - 990x505,"tamil nadu excluding chennai,coimbatore","45,162",455,4064.58
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,20-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 1 - Bill Payment - 600x600,"tamil nadu excluding chennai,coimbatore","13,578",103,1222.02
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,21-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 1 - Bill Payment - 600x600,"tamil nadu excluding chennai,coimbatore","12,673",109,1140.57
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,22-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 1 - Bill Payment - 600x600,"tamil nadu excluding chennai,coimbatore","125,215",1447,11269.35
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 1 - Bill Payment - 600x600,"tamil nadu excluding chennai,coimbatore","85,240",806,7671.6
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO TN_2023-10-20_2023-10-30,RO TN - Set 1 - Bill Payment - 600x600,"tamil nadu excluding chennai,coimbatore","40,317",482,3628.53
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,20-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 1 - Bill Payment - 990x505,"maharashtra excluding mumbai,pune,thane","28,501",206,2565.09
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,21-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 1 - Bill Payment - 990x505,"maharashtra excluding mumbai,pune,thane","19,935",155,1794.15
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,22-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 1 - Bill Payment - 990x505,"maharashtra excluding mumbai,pune,thane","110,777",998,9969.93
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 1 - Bill Payment - 990x505,"maharashtra excluding mumbai,pune,thane","67,472",690,6072.48
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 1 - Bill Payment - 990x505,"maharashtra excluding mumbai,pune,thane","36,276",596,3264.84
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,20-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 1 - Bill Payment - 600x600,"maharashtra excluding mumbai,pune,thane","54,266",390,4883.94
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,21-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 1 - Bill Payment - 600x600,"maharashtra excluding mumbai,pune,thane","43,319",288,3898.71
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,22-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 1 - Bill Payment - 600x600,"maharashtra excluding mumbai,pune,thane","177,241",1841,15951.69
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 1 - Bill Payment - 600x600,"maharashtra excluding mumbai,pune,thane","67,628",816,6086.52
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 1 - Bill Payment - 600x600,"maharashtra excluding mumbai,pune,thane","41,605",757,3744.45
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,20-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 2 - Recharge - 990x505,"maharashtra excluding mumbai,pune,thane","7,669",38,690.21
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,21-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 2 - Recharge - 990x505,"maharashtra excluding mumbai,pune,thane","20,840",143,1875.6
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,22-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 2 - Recharge - 990x505,"maharashtra excluding mumbai,pune,thane","104,688",917,9421.92
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 2 - Recharge - 990x505,"maharashtra excluding mumbai,pune,thane","61,341",621,5520.69
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 2 - Recharge - 990x505,"maharashtra excluding mumbai,pune,thane","41,511",613,3735.99
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 1 - Bill Payment - 1080x2592,"maharashtra excluding mumbai,pune,thane",110,12,9.9
